id,Школа,Адрес,Телефон,e-mail,Учеников_max,Учителей_max,Всего_Учителей,Всего_Учеников
0,ш. Фадеева,д. 848 к. 5/8,89382421948,nikiforovvalerjan@example.net,95,8,6,12
id,Статус,Имя,Фамилия,Возраст,Пол,Гражданство,Предметы
0,ученик,Измаил,Самсонов,13,M,DJ,[Валеология,Казахский язык,Биология,Черчение,Казахский язык,ОБЖ,Основы правоведения,Мировая художественная культура,Английский язык,Экология,Человек и общество,МХК,Хореография,МХК,Этика семьи,Этика семьи,Основы правоведения,Основы обществоведения,Зарубежная литература,История РК,Химия,Физкультура,Практикум по физике]
1,ученик,Семенов,Фролович,14,M,MM,[Практикум по химии,Геометрия,ОИВТ,Черчение,Практикум по химии,Казахский язык,Русский язык,МХК,Основы правоведения,Основы правоведения,Черчение,История мира,Практика перевода,История мира,Литература,География,Русский язык,НВП,Биология и валеология,Практикум по физике,Астрономия,Хореография,Алгебра]
2,ученик,Шашков,Фёдорович,16,M,QA,[Валеология,Мировая художественная культура,Химия,Геометрия,Казахский язык,Правоведение,Этика семьи,Практика перевода,История мира,МХК,Астрономия,Английский язык,Практикум по физике,Физика,Практикум по физике,Физкультура,Русский язык,Английский язык,Этика семьи,Литература,Основы обществоведения,Основы обществознания,Зарубежная литература]
3,ученик,Степанов,Аверьянович,10,M,TZ,[Экология,Зарубежная литература,Литература,Алгебра,ОБЖ,Экология,Всемирная история,Мировая художественная культура,Этика семьи,Мировая художественная культура,История мира,Алгебра,Астрономия,Валеология,Казахская литература,Русская литература,НВП,Информатика,Основы правоведения,ОБЖ,Английский язык,Казахская литература,Химия]
4,ученик,Лаврентьев,Валерьевич,11,M,KI,[Русская литература,Физкультура,Практикум по химии,История Казахстана,Казахская литература,Основы обществознания,НВП,Казахская литература,История РК,Практикум перевода,Зарубежная литература,История мира,Физкультура,ОИВТ,Практикум по химии,Практикум по химии,Этика семьи,Валеология,Валеология,МХК,Практикум по химии,Практика перевода,Основы правоведения]
5,ученик,Панфил,Ларионов,16,M,PH,[Казахский язык,Алгебра,Геометрия,Человек и общество,Человек и общество,НВП,Информатика,МХК,География,Человек и общество,История РК,Экология,Астрономия,Химия,Этика семьи,История Казахстана,Информатика,Мировая художественная культура,Информатика,Литература,Человек и общество,Практикум по химии,ОИВТ]
6,ученик,Нестор,Семенов,16,M,IT,[История Казахстана,Практикум по химии,Всемирная история,Практикум перевода,ОИВТ,Английский язык,География,Физика,Мировая художественная культура,Биология,История мира,Правоведение,Русская литература,Основы обществоведения,Биология и валеология,Физика,Валеология,Практика перевода,Геометрия,Мировая художественная культура,Практикум перевода,Мировая художественная культура,Валеология]
7,ученик,Вишнякова,Аскольдовна,10,F,ST,[Хореография,Зарубежная литература,Основы обществознания,Хореография,Информатика,ОБЖ,ОИВТ,Биология,География,Основы обществознания,Экология,ОИВТ,Хореография,Практика перевода,Литература,Русский язык,Русский язык,Русская литература,МХК,Всемирная история,Мировая художественная культура,Математика,Всемирная история]
8,ученик,Кондратьев,Васильевич,15,M,VN,[Русский язык,МХК,Зарубежная литература,История Казахстана,Основы обществоведения,Казахский язык,Алгебра,Информатика,Алгебра,Практикум перевода,Человек и общество,Казахская литература,Этика семьи,Практика перевода,Практикум перевода,История РК,Казахская литература,Физкультура,Английский язык,Мировая художественная культура,Биология,Валеология,Русский язык]
9,ученик,Ирина,Наумова,12,F,PS,[Русский язык,МХК,Хореография,МХК,Литература,НВП,Биология и валеология,Английский язык,Экология,Казахский язык,Мировая художественная культура,География,Русская литература,Мировая художественная культура,Черчение,Русская литература,Практика перевода,Информатика,Математика,Литература,Всемирная история,Мировая художественная культура,Всемирная история]
10,ученик,Самойлов,Владиславович,13,M,PE,[Практикум по физике,История РК,Основы правоведения,Правоведение,Практикум по физике,Русский язык,Мировая художественная культура,Литература,Литература,Хореография,Экология,Литература,Биология,ОИВТ,Основы обществознания,НВП,Этика семьи,Алгебра,Геометрия,История РК,Хореография,Геометрия,Практикум перевода]
11,ученик,Зосима,Ситников,12,M,PL,[Зарубежная литература,НВП,Мировая художественная культура,Человек и общество,Основы правоведения,Этика семьи,Основы обществоведения,Казахский язык,Этика семьи,Этика семьи,Русский язык,Основы обществоведения,Русская литература,ОИВТ,Астрономия,Биология и валеология,Русская литература,Казахская литература,Биология,Мировая художественная культура,Алгебра,Биология и валеология,Практика перевода]
0,учитель,Измаил,Самсонов,34,M,ET,[Биология,Биология и валеология]
1,учитель,Семенов,Фролович,62,M,BT,[Казахская литература,Русский язык]
2,учитель,Шашков,Фёдорович,34,M,PA,[НВП,Основы обществознания]
3,учитель,Степанов,Аверьянович,61,M,TV,[Практикум по физике,НВП]
4,учитель,Лаврентьев,Валерьевич,46,M,GA,[Основы обществоведения,Математика]
5,учитель,Панфил,Ларионов,57,M,TN,[Литература,История РК]
