id,Школа,Адрес,Телефон,e-mail,Учеников_max,Учителей_max,Всего_Учителей,Всего_Учеников
2,бул. Молодежный,д. 6/4 к. 2,+7(933)287-1158,velimir1990@example.net,79,11,3,19
id,Статус,Имя,Фамилия,Возраст,Пол,Гражданство,Предметы
26,ученик,Измаил,Самсонов,13,M,AL,[Экология,Геометрия,Мировая художественная культура,Экология,Физика,История Казахстана,Астрономия,МХК,Информатика,Химия,История мира,История РК,Алгебра,Практикум перевода,Хореография,История мира,Основы обществознания,Экология,История Казахстана,Биология и валеология,Математика,Человек и общество,Этика семьи]
27,ученик,Семенов,Фролович,16,M,CM,[Литература,НВП,МХК,Основы обществоведения,Физкультура,Русский язык,Хореография,История мира,Хореография,Основы обществоведения,ОИВТ,Русский язык,Валеология,Основы обществознания,Биология,Практикум перевода,Хореография,Валеология,Информатика,История мира,Астрономия,Всемирная история,Практика перевода]
28,ученик,Шашков,Фёдорович,11,M,KG,[Казахская литература,Практикум по физике,История мира,Русская литература,МХК,Литература,ОИВТ,Зарубежная литература,География,Экология,Этика семьи,Казахский язык,Черчение,Практикум по химии,История мира,Человек и общество,Мировая художественная культура,Экология,История РК,Хореография,Мировая художественная культура,Мировая художественная культура,Физика]
29,ученик,Степанов,Аверьянович,12,M,NL,[МХК,Основы правоведения,Физика,Хореография,Черчение,Всемирная история,Этика семьи,Физкультура,Физкультура,Валеология,Астрономия,Казахский язык,ОИВТ,Практикум по химии,География,Основы обществознания,Биология и валеология,Правоведение,История РК,История Казахстана,Практикум по химии,Практикум по химии,История мира]
30,ученик,Лаврентьев,Валерьевич,14,M,BH,[Биология,Русский язык,Физкультура,Физкультура,Этика семьи,География,Валеология,Практика перевода,Человек и общество,Химия,Биология и валеология,НВП,Мировая художественная культура,ОИВТ,История мира,Мировая художественная культура,Основы правоведения,Казахский язык,Физика,Казахский язык,Математика,Русский язык,Русская литература]
31,ученик,Панфил,Ларионов,11,M,AD,[Черчение,Русская литература,Всемирная история,МХК,Человек и общество,Этика семьи,Русский язык,Валеология,Практикум по физике,Русский язык,Астрономия,Зарубежная литература,Математика,Геометрия,Этика семьи,Литература,Алгебра,Основы обществознания,Мировая художественная культура,Биология,Хореография,Астрономия,Основы обществоведения]
32,ученик,Нестор,Семенов,16,M,SZ,[История Казахстана,Алгебра,Основы правоведения,Основы обществоведения,МХК,Основы правоведения,Казахский язык,ОИВТ,Всемирная история,ОБЖ,Валеология,Всемирная история,Правоведение,Физкультура,Черчение,Этика семьи,Казахский язык,Экология,Биология,Литература,Основы обществознания,Литература,Биология и валеология]
33,ученик,Вишнякова,Аскольдовна,12,F,TV,[Математика,География,Мировая художественная культура,Черчение,Математика,Практикум по физике,Этика семьи,Основы правоведения,ОБЖ,Практикум по физике,Правоведение,Физкультура,НВП,Геометрия,История РК,Английский язык,Практика перевода,Всемирная история,Математика,История РК,Биология и валеология,Практикум по физике,Валеология]
34,ученик,Кондратьев,Васильевич,14,M,NG,[Правоведение,ОБЖ,Экология,Всемирная история,Геометрия,Английский язык,Экология,Казахская литература,ОИВТ,НВП,Правоведение,География,ОБЖ,Практикум перевода,МХК,Русский язык,Основы обществоведения,ОБЖ,Черчение,МХК,Астрономия,История мира,История мира]
35,ученик,Ирина,Наумова,10,F,TZ,[Информатика,Физика,Практика перевода,Мировая художественная культура,Основы правоведения,НВП,Основы обществознания,Этика семьи,Биология,Геометрия,Геометрия,Основы правоведения,Математика,Казахский язык,Всемирная история,Астрономия,Практикум перевода,Мировая художественная культура,Русский язык,Информатика,Английский язык,Человек и общество,Казахский язык]
36,ученик,Самойлов,Владиславович,12,M,ZA,[Мировая художественная культура,Литература,Геометрия,История РК,Химия,Мировая художественная культура,Русская литература,Хореография,Литература,Практикум по физике,Английский язык,НВП,Основы обществоведения,Мировая художественная культура,Русская литература,Валеология,Практикум по химии,Английский язык,Литература,Валеология,Практика перевода,Черчение,Физика]
37,ученик,Зосима,Ситников,12,M,FR,[МХК,ОБЖ,Русская литература,МХК,Практикум перевода,Алгебра,Математика,Хореография,Астрономия,Хореография,Черчение,МХК,Основы обществоведения,Человек и общество,Основы правоведения,ОИВТ,Казахский язык,Мировая художественная культура,Хореография,История Казахстана,Русская литература,Зарубежная литература,Физкультура]
38,ученик,Волкова,Альбертовна,13,F,GH,[Практикум по физике,Практикум по химии,История РК,Этика семьи,Экология,МХК,Зарубежная литература,Человек и общество,Правоведение,ОБЖ,История Казахстана,Основы обществоведения,Практикум по химии,Основы правоведения,Всемирная история,Основы правоведения,Хореография,Практика перевода,История мира,Черчение,Биология,Практика перевода,История мира]
39,ученик,Русакова,Павловна,16,F,UY,[Хореография,Физкультура,ОИВТ,Русский язык,Экология,Черчение,Биология и валеология,Практикум перевода,Всемирная история,Практикум по химии,Хореография,Английский язык,Практикум перевода,Всемирная история,Биология и валеология,НВП,Литература,Биология,Правоведение,Этика семьи,Астрономия,Мировая художественная культура,История мира]
40,ученик,Попова,Сергеевна,13,F,MA,[НВП,Геометрия,История мира,ОБЖ,Валеология,Литература,Практика перевода,Мировая художественная культура,НВП,География,ОБЖ,Практика перевода,Правоведение,Физкультура,История Казахстана,НВП,МХК,Валеология,МХК,Казахская литература,Этика семьи,Правоведение,География]
41,ученик,Виктория,Лебедева,14,F,TR,[МХК,Мировая художественная культура,Русский язык,Человек и общество,МХК,Хореография,Основы обществоведения,Литература,Физкультура,Биология и валеология,Геометрия,Мировая художественная культура,Правоведение,Русский язык,Экология,Этика семьи,Хореография,Математика,Правоведение,Мировая художественная культура,Практикум по физике,Литература,Зарубежная литература]
